features,type,original_type,is_constant_col,is_id,use_cols,head_row,
channelGrouping,category,object,0,0,1,Organic Search,
date,date,int64,0,0,1,20160902,
fullVisitorId,str,object,0,1,1,1.13166044078597E+018,
sessionId,str,object,0,1,1,1131660440785968503_1472830385,
socialEngagementType,category,object,0,0,0,Not Socially Engaged,
visitId,category,int64,0,1,0,1472830385,
visitNumber,int,int64,0,0,1,1,
visitStartTime,date,int64,0,0,0,1472830385,
browser,category,object,0,0,1,Chrome,
browserSize,-,object,1,0,0,not available in demo dataset,
browserVersion,-,object,1,0,0,not available in demo dataset,
deviceCategory,category,object,0,0,1,desktop,
flashVersion,-,object,1,0,0,not available in demo dataset,
isMobile,bool,bool,0,0,1,FALSE,
language,-,object,1,0,0,not available in demo dataset,
mobileDeviceBranding,-,object,1,0,0,not available in demo dataset,
mobileDeviceInfo,-,object,1,0,0,not available in demo dataset,
mobileDeviceMarketingName,-,object,1,0,0,not available in demo dataset,
mobileDeviceModel,-,object,1,0,0,not available in demo dataset,
mobileInputSelector,-,object,1,0,0,not available in demo dataset,
operatingSystem,category,object,0,0,1,Windows,
operatingSystemVersion,-,object,1,0,0,not available in demo dataset,
screenColors,-,object,1,0,0,not available in demo dataset,
screenResolution,-,object,1,0,0,not available in demo dataset,
city,category,object,0,0,1,Izmir,
cityId,-,object,1,0,0,not available in demo dataset,
continent,category,object,0,0,1,Asia,
country,category,object,0,0,1,Turkey,
latitude,-,object,1,0,0,not available in demo dataset,
longitude,-,object,1,0,0,not available in demo dataset,
metro,category,object,0,0,1,(not set),
networkDomain,category,object,0,0,1,ttnet.com.tr,
networkLocation,-,object,1,0,0,not available in demo dataset,
region,category,object,0,0,1,Izmir,
subContinent,category,object,0,0,1,Western Asia,
bounces,bool,float64,0,0,1,1,
hits,int,int64,0,0,1,1,
newVisits,bool,float64,0,0,1,1,
pageviews,int,float64,0,0,1,1,
transactionRevenue,float,float64,0,0,1,,
visits,-,int64,1,0,0,1,
adContent,category,object,0,0,1,,
adNetworkType,category,object,0,0,1,,
criteriaParameters,-,object,1,0,0,not available in demo dataset,
gclId,category,object,0,1,1,,
isVideoAd,bool,object,0,0,1,,
page,category,float64,0,0,1,,
slot,category,object,0,0,1,,
campaign,category,object,0,0,1,(not set),
campaignCode,category,object,0,1,0,,
isTrueDirect,bool,object,0,0,1,,
keyword,category,object,0,0,1,(not provided),maybe can decompose
medium,category,object,0,0,1,organic,
referralPath,category,object,0,0,1,,
source,category,object,0,0,1,google,
